Team,Points,Submitted_Flags
mydonut,10,CSIUL{SpyCat_is_watching_you}
jackorion,50,CSIUL{SpyCat_is_watching_you};CSIUL{You_Found_A_Paw_But_SpyCat_Still_Has_8_Lives_Left};CSIUL{the_true_hideout_of_spycat_is_only_for_the_sharpest_agents};CSIUL{SpyCat_Loves_HoneyPaws}
